alpha-3,month,temperatureHigh,temperatureLow,uvIndex,avg_temp
FIN,03,36.33612903225805,24.509677419354837,1.1290322580645162,30.42290322580645
FIN,04,40.695,26.566999999999997,2.45,33.631
FIN,12,38.56,37.04,0.0,37.8
FRA,01,78.8955241935484,70.61120967741934,6.80241935483871,74.75336693548383
FRA,02,79.88896551724142,70.73715517241384,8.056034482758621,75.31306034482759
FRA,03,79.92528225806456,69.99290322580646,8.391129032258064,74.95909274193545
FRA,04,81.55800000000002,71.49499999999999,8.51875,76.5265
FRA,12,79.61625000000001,70.7425,6.5,75.17937500000001
GAB,01,86.74129032258067,69.74935483870968,7.967741935483871,78.24532258064518
GAB,02,86.20172413793105,69.38758620689656,8.344827586206897,77.79465517241381
GAB,03,86.93129032258065,69.39096774193548,7.387096774193548,78.16112903225807
GAB,04,86.04600000000002,69.726,6.5,77.886
GAB,12,87.76,70.5,11.0,79.13
GBR,01,63.04600000000004,56.931806451612964,3.52258064516129,59.988903225806446
GBR,02,63.21027586206896,56.9485517241379,4.8,60.079413793103434
GBR,03,63.42738853503178,56.17726114649677,5.904458598726115,59.8023248407643
GBR,04,67.60430000000001,59.71380000000001,7.29,63.659049999999944
GBR,12,74.43,67.93333333333334,4.666666666666667,71.18166666666667
GEO,01,45.563548387096766,31.464838709677416,1.3225806451612903,38.5141935483871
GEO,02,47.0106896551724,31.619999999999997,2.2758620689655173,39.3153448275862
GEO,03,60.91032258064516,43.02935483870967,3.4838709677419355,51.969838709677425
GEO,04,61.038,40.13999999999999,4.7,50.58900000000001
GEO,12,42.76,37.66,1.0,40.209999999999994
GGY,01,50.910967741935494,45.859677419354846,1.0,48.38532258064517
GGY,02,51.37793103448277,45.668620689655185,1.5517241379310345,48.52327586206897
GGY,03,50.435625,44.57375000000002,2.8125,47.504687499999996
GGY,04,57.35049999999999,49.63450000000001,4.6,53.49249999999999
GHA,01,99.25774193548386,68.36193548387098,9.64516129032258,83.80983870967742
GHA,02,102.47551724137932,69.92517241379309,10.379310344827585,86.20034482758619
GHA,03,100.31354838709679,77.18225806451615,8.32258064516129,88.74790322580645
GHA,04,98.36333333333332,76.4904761904762,9.380952380952381,87.42690476190475
GIN,01,96.13483870967742,60.90903225806453,8.64516129032258,78.52193548387095
GIN,02,99.99310344827583,62.7255172413793,10.793103448275861,81.35931034482758
GIN,03,100.63064516129032,70.07258064516128,9.806451612903226,85.35161290322583
GIN,04,99.31761904761905,73.79761904761905,10.523809523809524,86.55761904761906
GLP,01,84.27483870967743,72.78032258064515,6.67741935483871,78.52758064516131
GLP,02,84.21241379310347,72.66551724137932,7.655172413793103,78.43896551724137
GLP,03,84.07032258064515,71.97516129032257,8.612903225806452,78.02274193548388
GLP,04,86.8355,74.4055,9.1,80.6205
GLP,12,86.66,73.21,7.0,79.935
GMB,01,92.68016129032257,68.79258064516132,7.17741935483871,80.73637096774192
GMB,02,97.77724137931031,72.62965517241379,9.068965517241379,85.2034482758621
GMB,03,96.61741935483872,71.20516129032255,10.67741935483871,83.9112903225807
GMB,04,96.74999999999999,72.45857142857143,11.19047619047619,84.60428571428572
GNQ,01,86.03225806451616,69.43322580645159,8.258064516129032,77.73274193548386
GNQ,02,85.13448275862069,70.20344827586204,8.379310344827585,77.66896551724139
GNQ,03,86.07483870967741,70.45129032258063,7.67741935483871,78.26306451612903
GNQ,04,84.776,69.912,6.7,77.34399999999998
GNQ,12,85.45,69.94,6.0,77.695
GRC,01,48.42903225806452,31.918064516129036,2.096774193548387,40.17354838709677
GRC,02,51.734482758620686,35.40931034482758,3.2413793103448274,43.571896551724144
GRC,03,54.693870967741944,38.29838709677419,4.161290322580645,46.49612903225807
GRC,04,58.48299999999998,40.86699999999999,5.3,49.675000000000004
GRC,12,47.4,25.8,2.0,36.6
GRL,01,-27.85935483870968,-37.714516129032255,0.0,-32.78693548387096
GRL,02,-29.8351724137931,-42.03206896551724,0.0,-35.933620689655164
GRL,03,-21.00225806451613,-39.91032258064517,0.5483870967741935,-30.456290322580646
GRL,04,-5.604999999999999,-25.082500000000003,1.8,-15.34375
GRL,12,-23.59,-54.62,0.0,-39.105
GTM,01,80.39290322580646,64.31322580645161,7.032258064516129,72.35306451612904
GTM,02,82.63551724137933,64.17275862068963,8.758620689655173,73.4041379310345
GTM,03,85.9432258064516,64.6558064516129,10.483870967741936,75.29951612903226
GTM,04,96.6275,69.4735,12.25,83.0505
GTM,12,80.25,64.04,5.0,72.14500000000001
GUF,01,83.99967741935481,69.26903225806451,7.870967741935484,76.63435483870968
GUF,02,85.13241379310344,68.48275862068965,7.896551724137931,76.80758620689656
GUF,03,87.85419354838713,69.38290322580646,8.741935483870968,78.61854838709678
GUF,04,82.916,70.77099999999999,7.1,76.84350000000002
GUF,12,83.26,65.33,6.0,74.295
GUM,01,84.7122580645161,76.61193548387098,7.161290322580645,80.66209677419356
GUM,02,84.34724137931033,76.23724137931033,8.482758620689655,80.29224137931034
GUM,03,85.82548387096774,77.01419354838711,8.806451612903226,81.41983870967742
GUM,04,86.858,77.745,9.35,82.3015
GUM,12,84.34,75.99,5.0,80.16499999999999
GUY,01,85.3590322580645,69.07612903225807,7.612903225806452,77.2175806451613
GUY,02,87.76793103448276,69.01344827586206,8.655172413793103,78.39068965517242
GUY,03,88.21935483870969,69.93451612903225,8.64516129032258,79.07693548387097
GUY,04,87.991,72.04650000000001,6.8,80.01875
GUY,12,84.3,68.7,6.0,76.5
HND,01,76.4251612903226,60.05967741935484,7.032258064516129,68.2424193548387
HND,02,79.70137931034483,60.58275862068965,8.689655172413794,70.14206896551724
HND,03,81.67548387096775,60.75612903225806,9.806451612903226,71.21580645161289
HND,04,90.66850000000001,61.834500000000006,12.4,76.25150000000001
HND,12,76.33,58.33,5.0,67.33
HRV,01,41.021612903225815,29.883225806451613,1.1612903225806452,35.4524193548387
HRV,02,45.71551724137932,33.49620689655172,2.2413793103448274,39.60586206896552
HRV,03,45.629354838709695,30.738387096774193,3.2580645161290325,38.183870967741946
HRV,04,58.26500000000001,38.8875,5.45,48.57625000000001
HRV,12,37.46,25.0,1.0,31.23
